kicnumber|teff_lamost_lasp|teff_lamost_lasp_err|logg_lamost_lasp|logg_lamost_lasp_err|feh_lamost_lasp|feh_lamost_lasp_err|Lum_gaia|E_Lum|e_Lum
10922482|5693.86|55.54|4.182|0.092|0.146|0.053|0.836442774398|0.0532962526821|0.049627935933900004
10922538|5478.38|34.73|4.634|0.057|0.011|0.033|0.6011856535100001|0.0283588496006|0.026888883767900003
10922610|6429.98|21.27|4.305|0.035|0.121|0.02|4.00405720634|0.15925069794299998|0.152568627543
10922692|5567.58|33.69|4.569|0.056|0.148|0.031|0.7178128190199999|0.0174144494203|0.0169167125084
10922695|6397.02|49.85|4.209|0.082|0.107|0.048|2.73549573001|0.13017985091499998|0.123423167836
10922836|6044.0|16.23|4.358|0.025|0.075|0.014|1.51936046063|0.0296441147327|0.029150841941400003
10922897|4898.22|34.54|4.627|0.057|0.143|0.032|0.341291759023|0.00901669226018|0.008771408130370001
10923234|5252.8|71.41|4.469|0.118|0.299|0.069|0.5753689362650001|0.023683092996099997|0.0227171049884
10923282|5946.85|31.66|4.041|0.052|-0.021|0.03|7.70881369387|0.503621871478|0.46676189766500004
10923328|6060.18|20.08|4.047|0.032|0.319|0.017|4.602178557469999|0.21909259458299998|0.208087822723
10923495|5216.56|33.43|4.681|0.055|0.214|0.031|0.37696068428499996|0.0115961858115|0.0112003976836
10923791|5836.15|23.65|4.479|0.039|-0.047|0.022|1.15296347513|0.051596227096300004|0.0491905829174
10923883|5625.97|34.67|4.293|0.057|0.212|0.033|1.20279465374|0.0657999300759|0.062060357852999994
10924400|5154.91|41.25|4.794|0.068|0.104|0.039|0.336515031863|0.00576025629949|0.00568058919303
10924462|5154.22|76.64|4.414|0.126|-0.074|0.074|0.665436623874|0.0138242940489|0.0136291813303
10924744|6517.6|23.22|4.165|0.038|0.097|0.021|3.5405814517300005|0.132607657076|0.127164583304
10931822|6084.39|15.44|4.357|0.025|-0.061|0.014|1.60456071201|0.042366864961699995|0.041156405410800005
10933861|6863.8|12.75|3.919|0.018|0.22|0.01|30.978664596399998|4.58567835069|3.78323251552
10934184|6252.39|15.35|3.941|0.025|0.124|0.014|10.119325116599999|0.45724246961599996|0.434030232849
10934241|5919.97|23.27|4.514|0.037|0.054|0.02|1.01173108552|0.0176880714303|0.017461433345000003
10934285|6330.84|23.66|4.287|0.039|0.056|0.022|2.0349575172|0.04997961526169999|0.048397820168399996
10935517|5887.89|20.31|3.902|0.033|0.073|0.019|5.09089243159|0.288108543682|0.270331248684
10935986|6029.96|94.86|4.01|0.156|-0.11|0.092|4.89313839584|0.318865325659|0.29568061495700004
10936621|6523.69|32.81|4.191|0.054|0.042|0.031|3.0872421974|0.13954302884000003|0.133215207158
10937840|5548.03|72.97|3.93|0.12|0.198|0.07|3.39867326625|0.255448665759|0.23460604708799998
10958657|4378.45|66.54|4.558|0.11|0.03|0.064|0.184708595572|0.0032639534518400003|0.0032115290905199998
10960722|5371.26|48.05|4.374|0.079|0.397|0.046|0.723773020327|0.015058355482000001|0.0148379249272
10960783|6375.19|35.89|4.149|0.059|0.254|0.034|3.9164299184300004|0.116832052561|0.113392441932
10962806|6103.3|29.06|4.403|0.048|0.09|0.027|1.6216708776100002|0.04678508023109999|0.045251214234800004
10964344|5360.41|19.53|4.629|0.031|-0.227|0.017|0.450007079494|0.00950421111182|0.009335525678399998
10965470|5377.18|29.14|4.633|0.048|0.255|0.027|0.538310834221|0.013175650294899999|0.0129048159518
10965642|5236.11|39.86|4.815|0.066|0.061|0.038|0.38282537622199997|0.00921059936484|0.009045748094680001
10966835|5829.22|17.85|4.138|0.029|0.201|0.015|2.56501823078|0.0938031119124|0.0902326316415
10969469|4606.07|49.91|4.61|0.082|-0.022|0.048|0.25368314505399997|0.005842864068680001|0.00573063661521
10969582|5584.44|60.81|4.502|0.1|-0.003|0.058|0.845103508124|0.021295699959|0.0208689727962
10969822|5998.96|27.01|4.392|0.045|0.064|0.025|2.7191147518000003|0.085721490704|0.0829841437243
10971848|5412.57|37.1|4.379|0.061|-0.441|0.036|1.20964927608|0.040239231011800006|0.0386838237285
10972252|6218.95|13.94|3.961|0.021|-0.039|0.011|7.246937591939999|0.253952403254|0.244665430293
10972338|5658.78|34.69|4.625|0.057|0.119|0.033|1.66486131308|0.099062658094|0.09240577099519999
10972370|6040.38|48.39|4.109|0.08|-0.117|0.046|3.30028854995|0.10814001568600001|0.104915114607
10972393|5625.23|30.25|3.661|0.05|0.314|0.028|8.55613761644|0.411363739294|0.389803743095
10972459|4589.14|70.36|4.641|0.116|-0.144|0.068|0.230489198178|0.0073414844425100005|0.00714855961966
10972788|5080.87|51.44|4.746|0.085|0.021|0.049|0.721025601958|0.0350619272336|0.0331903272953
10973107|5513.8|34.72|4.269|0.057|-0.378|0.033|0.947173818375|0.0501825132274|0.0472544766591
10973346|5891.72|47.94|4.388|0.079|0.096|0.046|1.2432858172|0.0409767381059|0.039803011015300004
10973391|5134.4|43.0|4.688|0.071|0.046|0.041|0.696523401237|0.0358412790259|0.0339518051276
10973732|5115.15|67.24|4.618|0.111|0.144|0.065|0.458626773537|0.028361279786299997|0.0265064455345
10973841|4915.96|99.23|4.711|0.163|0.033|0.096|0.303461694503|0.0145090223886|0.0137489749602
10974198|4574.59|69.38|4.698|0.114|-0.159|0.067|0.233830497836|0.0089058285032|0.00861473143905
10974344|4218.5|40.99|4.569|0.068|-0.01|0.039|0.160882827467|0.0037873242720199997|0.00371029315541
10974654|5510.89|32.51|4.498|0.054|0.167|0.031|0.754077720106|0.0329963758576|0.0315495602778
10974779|6316.18|23.87|4.182|0.039|0.1|0.022|3.1438125733099995|0.11792064295999999|0.113381980785
10975246|6214.68|19.6|4.202|0.032|0.066|0.018|3.0007425082599997|0.10887147369000001|0.104808508333
10975635|5350.59|58.05|3.725|0.096|-0.136|0.055|11.183970677000001|0.521453546255|0.494730908118
